"idade","vacina_newcastle","vacina_salmonella","nro_aves","tipo_exploracao","segmento","exploracao","finalidade","materiais_coletados_array"
"27 semanas","Sim, viva/inativa","Sim, viva/inativa",15000,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"34 semanas","Sim, viva/inativa","Sim, viva/inativa",59177,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"60 semanas","Sim, viva/inativa",Não,20035,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
"61 semanas","Sim, inativa.","Sim, inativa.",16701,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto"",""Propé Misto"",""Propé Misto""}"
"50 semanas","Sim, viva/inativa","Sim, viva/inativa",7931,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"24 semanas","Sim, inativa.","Sim, inativa.",23731,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto"",""Propé Misto"",""Propé Misto""}"
"39 semanas","Sim, viva/inativa","Sim, viva/inativa",32501,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"1 semana",Não,Não,27054,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{""Aves Mortas LMM"",""Suabe de Arrasto LMM""}"
"30 semanas","Sim, viva/inativa","Sim, viva/inativa",8730,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados - Pool de fígado + baço + bursa (órgãos)"",""Ovos Bicados - Pool de cecos"",""Ovos Bicados - Pool de gema""}"
"1 dia",Não,Não,19290,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto"",""Aves Mortas Misto"",""Suabe Fundo de Caixa Misto"",""Suabe Fundo de Caixa Misto""}"
"51 semanas","Sim, viva/inativa","Sim, viva/inativa",22120,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"36 semanas","Sim, inativa.","Sim, inativa.",42028,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"1 dia",Não,Não,9640,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Aves Mortas LF"",""Suabe Fundo de Caixa LF"",""Suabe de Arrasto LF"",""Suabe de Arrasto LF"",""Suabe de Arrasto Misto""}"
"63 semanas","Sim, viva/inativa","Sim, viva/inativa",25165,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"51 semanas","Sim, inativa.","Sim, inativa.",15350,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"31 semanas","Sim, inativa.","Sim, inativa.",25345,Matriz,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
"39 semanas","Sim, viva/inativa","Sim, viva/inativa",8075,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"61 semanas","Sim, viva/inativa","Sim, inativa.",11520,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Arrasto Misto""}"
"38 semanas","Sim, viva/inativa","Sim, inativa.",21544,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"72 semanas","Sim, viva/inativa","Sim, viva/inativa",22373,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"48 semanas","Sim, viva/inativa","Sim, viva/inativa",6578,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto""}"
"37 semanas","Sim, viva/inativa","Sim, inativa.",25174,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"63 semanas","Sim, inativa.","Sim, inativa.",15439,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"3 dias",Não,Não,36480,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Aves Mortas LF"",""Aves Mortas LM"",""Propé LM"",""Suabe Fundo de Caixa LF"",""Suabe Fundo de Caixa LM""}"
"27 semanas","Sim, inativa.",Não,21450,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
"5 dias","Sim, viva",Não,36700,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Aves Mortas LF"",""Aves Mortas LM"",""Suabe de Arrasto Misto""}"
"63 semanas","Sim, inativa.",Não,15872,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"49 semanas","Sim, viva/inativa","Sim, viva/inativa",8188,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"60 semanas","Sim, viva/inativa","Sim, viva/inativa",26402,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto""}"
"28 semanas","Sim, inativa.","Sim, inativa.",24263,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"51 semanas","Sim, viva/inativa","Sim, inativa.",11072,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"29 semanas","Sim, viva/inativa","Sim, viva/inativa",38661,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"29 semanas","Sim, viva/inativa","Sim, viva/inativa",32465,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"51 semanas","Sim, inativa.","Sim, inativa.",47565,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"5 dias",Não,Não,27470,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Aves Mortas LF"",""Propé LF"",""Cepilho/Papel Fundo Caixa LF""}"
"27 semanas","Sim, viva/inativa","Sim, viva/inativa",8540,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"25 semanas","Sim, viva/inativa","Sim, viva/inativa",65700,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"48 semanas","Sim, viva/inativa","Sim, viva/inativa",30753,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"60 semanas","Sim, viva/inativa","Sim, viva/inativa",30463,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"48 semanas","Sim, viva/inativa","Sim, viva/inativa",40471,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto""}"
"63 semanas","Sim, inativa.","Sim, inativa.",36342,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"52 semanas","Sim, viva/inativa","Sim, viva/inativa",19450,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"30 semanas","Sim, viva/inativa","Sim, viva/inativa",17060,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados - Pool de fígado + baço + bursa (órgãos)"",""Ovos Bicados - Pool de cecos"",""Ovos Bicados - Pool de gema""}"
"1 dia",Não,Não,34500,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Aves Mortas LF"",""Aves Mortas LM"",""Propé LF"",""Suabe Fundo de Caixa LF"",""Suabe Fundo de Caixa LM""}"
"11 semanas","Sim, viva",Não,52654,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Propé LF"",""Propé LF"",""Propé LF"",""Propé LM"",Soros}"
"53 semanas","Sim, viva/inativa","Sim, viva/inativa",14910,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"63 semanas","Sim, viva/inativa","Sim, viva/inativa",75000,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"48 semanas","Sim, viva/inativa","Sim, viva/inativa",7420,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"60 semanas","Sim, viva/inativa","Sim, viva/inativa",14400,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"61 semanas","Sim, viva/inativa","Sim, viva/inativa",29900,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"48 semanas","Sim, inativa.",Não,20193,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
"35 semanas","Sim, viva/inativa","Sim, viva/inativa",8240,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"32 semanas","Sim, viva/inativa","Sim, viva/inativa",40240,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{""Fezes Frescas"",""Fezes Frescas"",""Fezes Frescas"",""Fezes Frescas""}"
"23 semanas","Sim, viva/inativa","Sim, viva/inativa",9310,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"37 semanas","Sim, viva/inativa","Sim, viva/inativa",29653,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"1 dia",Não,Não,21470,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto"",""Aves Mortas Misto"",""Suabe Fundo de Caixa Misto""}"
"31 semanas","Sim, viva/inativa","Sim, inativa.",30740,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"1 semana",Não,Não,53795,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto"",""Aves Mortas Misto"",""Suabe Fundo de Caixa Misto"",""Suabe Fundo de Caixa Misto""}"
"49 semanas","Sim, viva/inativa","Sim, viva/inativa",28078,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{""Propé Misto"",""Propé Misto"",""Propé Misto"",""Propé Misto""}"
"39 semanas","Sim, viva/inativa","Sim, viva/inativa",9880,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"55 semanas","Sim, inativa.","Sim, viva",9784,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{""Propé LF"",""Propé LF"",""Propé LM"",Soros}"
"63 semanas","Sim, viva/inativa","Sim, viva/inativa",13820,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"30 semanas","Sim, viva/inativa","Sim, viva/inativa",25679,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"11 semanas","Sim, viva","Sim, viva",27598,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{Soros,""Propé Misto"",""Propé Misto""}"
"30 semanas","Sim, viva/inativa","Sim, viva/inativa",20147,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"24 semanas","Sim, viva/inativa","Sim, viva/inativa",33345,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"29 semanas","Sim, viva/inativa","Sim, viva/inativa",30562,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"36 semanas","Sim, viva/inativa","Sim, viva/inativa",48294,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto""}"
"25 semanas","Sim, inativa.","Sim, inativa.",24650,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto"",""Propé Misto""}"
"36 semanas","Sim, viva/inativa","Sim, viva/inativa",8260,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"33 semanas","Sim, viva/inativa","Sim, viva/inativa",59800,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"51 semanas","Sim, inativa.","Sim, viva",8425,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{""Suabe de Traquéia""}"
"27 semanas","Sim, inativa.",Não,3059,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados - Pool de cecos""}"
"12 semanas","Sim, viva",Não,37487,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{Soros,""Fezes Frescas""}"
"28 semanas","Sim, inativa.","Sim, inativa.",26177,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados - Pool de fígado + baço + bursa (órgãos)"",""Ovos Bicados - Pool de cecos"",""Ovos Bicados - Pool de gema""}"
"60 semanas","Sim, viva/inativa","Sim, viva/inativa",48654,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"36 semanas","Sim, viva/inativa","Sim, viva/inativa",20900,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto""}"
"49 semanas","Sim, inativa.","Sim, inativa.",56931,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto"",""Propé Misto"",""Propé Misto"",""Propé Misto"",""Propé Misto""}"
"72 semanas","Sim, inativa.","Sim, inativa.",7493,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto"",Meconio,""Ovos Bicados ""}"
"63 semanas","Sim, inativa.","Sim, inativa.",30327,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"65 semanas","Sim, inativa.","Sim, inativa.",25262,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{""Suabe de Traquéia""}"
"29 semanas","Sim, inativa.","Sim, inativa.",24737,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"11 semanas","Sim, viva","Sim, viva",52868,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Propé LF"",""Propé LF"",""Propé LF"",""Propé LF"",""Propé LF"",""Propé LF"",""Propé LF"",""Propé LF"",""Propé LM"",""Propé LM"",Soros}"
"42 semanas","Sim, viva/inativa","Sim, viva/inativa",49538,Granja,AVES_GENETICA,Reprodução,Granja de produção(OF),"{""Suabe de Traquéia"",""Suabe de Traquéia"",""Orgãos - Fígado"",Meconio,""Suabe de Traquéia"",""Suabe de Traquéia"",Soros,Superfície,""Suabe de Traquéia"",""Orgãos - Baço"",""Orgãos - Coração"",""Orgãos - Fígado"",""Orgãos - Ovário"",""Suabe de Traquéia"",""Suabe de Traquéia"",""Suabe de Traquéia"",Soros,Soros,""Suabe de Arrasto Misto"",""Orgãos - Baço"",""Orgãos - Fígado"",""Orgãos - Ovário"",""Orgãos - Baço"",""Orgãos - Coração"",""Orgãos - Fígado"",""Orgãos - Ovário"",""Suabe de Traquéia"",""Suabe de Traquéia"",Orgãos,Orgãos,Soros,Orgãos,Orgãos,Soros,""Fezes Frescas"",""Orgãos - Coração"",""Orgãos - Baço"",""Orgãos - Fígado"",""Orgãos - Ovário"",""Orgãos - Tonsilas Cecais"",""Propé Misto"",""Suabe de Traquéia"",""Orgãos - Baço"",""Orgãos - Coração"",""Orgãos - Ovário"",""Orgãos - Fígado"",""Ovos Bicados "",Orgãos,Soros,""Suabe de Traquéia"",""Suabe de Traquéia"",""Orgãos - Baço"",""Aves Mortas Misto""}"
"63 semanas","Sim, viva/inativa","Sim, viva/inativa",27632,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"2 dias",Não,Não,63802,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{""Aves Mortas LFF"",""Suabe Fundo de Caixa LFF""}"
"50 semanas","Sim, viva/inativa","Sim, viva/inativa",6675,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"30 semanas","Sim, viva/inativa","Sim, viva/inativa",24726,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"2 dias",Não,Não,30056,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{""Aves Mortas LMF"",""Aves Mortas LMM"",""Propé LMF"",""Suabe Fundo de Caixa LMF"",""Suabe Fundo de Caixa LMM"",""Propé LMM""}"
"27 semanas","Sim, inativa.",Não,25427,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"60 semanas","Sim, viva/inativa","Sim, viva/inativa",21558,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Arrasto Misto""}"
"55 semanas","Sim, viva/inativa","Sim, viva/inativa",15580,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"60 semanas","Sim, inativa.","Sim, inativa.",20822,Matriz,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Soros,""Propé Misto""}"
"5 dias",Não,Não,28120,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Aves Mortas LF"",""Aves Mortas LM"",""Propé LF"",""Propé LM"",""Suabe Fundo de Caixa LF"",""Suabe Fundo de Caixa LM""}"
"102 semanas","Sim, viva/inativa","Sim, inativa.",26415,Matriz,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
"78 semanas","Sim, inativa.","Sim, inativa.",7479,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"1 semana",Não,Não,27054,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{""Aves Mortas LMM"",""Suabe Fundo de Caixa LMM""}"
"59 semanas","Sim, inativa.","Sim, inativa.",24943,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto"",""Propé Misto""}"
"24 semanas","Sim, viva/inativa","Sim, viva/inativa",25393,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto""}"
"39 semanas","Sim, viva/inativa","Sim, viva/inativa",16770,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"60 semanas","Sim, viva/inativa","Sim, viva/inativa",42684,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto""}"
"1 semana",Não,Não,37655,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{""Aves Mortas LFF""}"
"76 semanas","Sim, viva/inativa","Sim, inativa.",21888,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"36 semanas","Sim, inativa.",Não,2196,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Soros,""Propé Misto""}"
"3 dias",Não,Não,77750,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Suabe de Arrasto Misto"",""Aves Mortas Misto"",""Suabe Fundo de Caixa Misto""}"
"35 semanas","Sim, viva/inativa","Sim, inativa.",19200,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Arrasto Misto""}"
"48 semanas","Sim, inativa.","Sim, viva",25400,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto"",""Propé Misto"",""Propé Misto"",""Propé Misto""}"
"50 semanas","Sim, inativa.","Sim, viva",9188,Granja,AVES_GENETICA,Reprodução,Granja de produção(OF),"{""Suabe de Traquéia"",""Suabe de Traquéia"",""Orgãos - Fígado"",Meconio,""Suabe de Traquéia"",""Suabe de Traquéia"",Soros,Superfície,""Suabe de Traquéia"",""Orgãos - Baço"",""Orgãos - Coração"",""Orgãos - Fígado"",""Orgãos - Ovário"",""Suabe de Traquéia"",""Suabe de Traquéia"",""Suabe de Traquéia"",Soros,Soros,""Suabe de Arrasto Misto"",""Orgãos - Baço"",""Orgãos - Fígado"",""Orgãos - Ovário"",""Orgãos - Baço"",""Orgãos - Coração"",""Orgãos - Fígado"",""Orgãos - Ovário"",""Suabe de Traquéia"",""Suabe de Traquéia"",Orgãos,Orgãos,Soros,Orgãos,Orgãos,Soros,""Fezes Frescas"",""Orgãos - Coração"",""Orgãos - Baço"",""Orgãos - Fígado"",""Orgãos - Ovário"",""Orgãos - Tonsilas Cecais"",""Propé Misto"",""Suabe de Traquéia"",""Orgãos - Baço"",""Orgãos - Coração"",""Orgãos - Ovário"",""Orgãos - Fígado"",""Ovos Bicados "",Orgãos,Soros,""Suabe de Traquéia"",""Suabe de Traquéia"",""Orgãos - Baço"",""Aves Mortas Misto""}"
"24 semanas","Sim, viva/inativa","Sim, viva/inativa",34620,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"39 semanas","Sim, inativa.","Sim, inativa.",18620,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"63 semanas","Sim, viva/inativa","Sim, viva/inativa",29670,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"48 semanas","Sim, viva/inativa",Não,19285,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
"59 semanas","Sim, inativa.","Sim, inativa.",34757,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto"",""Propé Misto"",""Propé Misto""}"
"24 semanas","Sim, viva/inativa","Sim, viva/inativa",30820,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"38 semanas","Sim, viva/inativa","Sim, viva/inativa",32700,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"48 semanas","Sim, viva/inativa","Sim, viva/inativa",32509,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"37 semanas","Sim, inativa.","Sim, inativa.",24879,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"62 semanas","Sim, viva/inativa","Sim, viva/inativa",38400,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"36 semanas","Sim, viva/inativa","Sim, viva/inativa",20240,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"11 semanas","Sim, viva","Sim, viva",56891,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{Soros,""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto"",""Suabe de Arrasto Misto""}"
"24 semanas","Sim, viva/inativa","Sim, viva/inativa",8500,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"48 semanas","Sim, viva/inativa","Sim, inativa.",11072,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Arrasto Misto""}"
"40 semanas","Sim, viva/inativa","Sim, inativa.",17550,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"36 semanas","Sim, viva/inativa","Sim, viva/inativa",16489,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"36 semanas","Sim, viva/inativa","Sim, viva/inativa",32070,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"60 semanas","Sim, viva/inativa","Sim, viva/inativa",28600,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"24 semanas","Sim, viva/inativa","Sim, viva/inativa",31136,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"6 dias",Não,Não,27500,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Aves Mortas LF"",""Aves Mortas LM"",""Propé LF"",""Propé LM"",""Suabe Fundo de Caixa LF"",""Suabe Fundo de Caixa LM""}"
"24 semanas","Sim, viva/inativa","Sim, viva/inativa",13939,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto""}"
"36 semanas","Sim, viva/inativa","Sim, viva/inativa",32112,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"40 semanas","Sim, inativa.","Sim, inativa.",25008,Matriz,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
"3 dias",Não,Não,26590,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Suabe de Arrasto Misto"",""Aves Mortas Misto"",""Suabe Fundo de Caixa Misto""}"
"36 semanas","Sim, viva/inativa","Sim, viva/inativa",28933,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{""Propé Misto"",""Propé Misto"",""Propé Misto"",""Propé Misto""}"
"40 semanas","Sim, inativa.","Sim, inativa.",23917,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"36 semanas","Sim, viva/inativa","Sim, viva/inativa",16500,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Fezes Frescas""}"
"63 semanas","Sim, viva/inativa","Sim, viva/inativa",29023,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"1 semana",Não,Não,27054,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{""Aves Mortas LFM""}"
"1 dia",Não,Não,22320,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Aves Mortas LF"",""Aves Mortas LM"",""Suabe Fundo de Caixa LF"",""Suabe Fundo de Caixa LM"",""Suabe de Arrasto LF"",""Suabe de Arrasto LM"",""Suabe de Arrasto LM"",""Suabe de Arrasto Misto""}"
"38 semanas","Sim, inativa.","Sim, inativa.",23229,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"1 dia",Não,Não,5300,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{""Aves Mortas LFF"",""Aves Mortas LFM"",""Aves Mortas LMF"",""Aves Mortas LMM"",""Propé Misto"",""Suabe Fundo de Caixa Misto""}"
"48 semanas","Sim, viva/inativa","Sim, viva/inativa",14283,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto""}"
"50 semanas","Sim, viva/inativa","Sim, viva/inativa",16000,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"51 semanas","Sim, viva/inativa","Sim, viva/inativa",31472,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"50 semanas","Sim, inativa.","Sim, inativa.",30014,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"36 semanas","Sim, inativa.",Não,25646,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
