"idade","vacina_newcastle","vacina_salmonella","nro_aves","tipo_exploracao","segmento","exploracao","finalidade","materiais_coletados_array"
"1 dia",Não,Não,19400,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{""Aves Mortas LF"",""Suabe Fundo de Caixa LF""}"
"36 semanas","Sim, viva/inativa","Sim, inativa.",11165,Matriz,AVES_GENETICA,Reprodução,Granja de recria,"{Soros,""Suabe de Arrasto Misto""}"
"64 semanas","Sim, viva/inativa","Sim, inativa.",10321,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"45 semanas","Sim, inativa.","Sim, viva",4132,Matriz,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
"60 semanas","Sim, inativa.",Não,18056,Avó,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{Meconio,""Ovos Bicados ""}"
"1 dia","Sim, viva",Não,9305,Matriz,AVES_GENETICA,Reprodução,Granja de ciclo completo,"{""Suabe de Arrasto Misto"",""Aves Mortas Misto"",""Suabe Fundo de Caixa Misto""}"
"40 semanas","Sim, inativa.","Sim, inativa.",35203,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"61 semanas","Sim, viva/inativa","Sim, viva/inativa",42771,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"60 semanas","Sim, viva/inativa","Sim, viva/inativa",29041,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"31 semanas","Sim, viva/inativa","Sim, viva/inativa",36646,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Meconio,""Ovos Bicados ""}"
"61 semanas","Sim, viva/inativa","Sim, viva/inativa",29598,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Suabe de Cloaca""}"
"24 semanas","Sim, inativa.","Sim, inativa.",24529,Matriz,AVES_GENETICA,Reprodução,Granja de produção(OF),"{Soros,""Propé Misto"",""Propé Misto"",""Propé Misto""}"
